LONGITUDE,LATITUDE,CLASS,ASPECT1,ELEVATION1,GEOLOGY1,LULC1,NDVI1,RAINFALL1,ROAD1,SLOPE1,SOIL1,STREAM1
88.623639,27.61775,1,26,1739.28051757812,4,10,0.057698804885149,1510.91088867188,5,20,3,1
88.618861,27.619722,1,56,1781.47973632812,4,6.82406187057495,0.110410153865814,1508.87573242188,5,30,3,1
88.618694,27.621806,1,86,1806.30969238281,4,3.02112340927124,0.239090770483017,1508.87573242188,5,29,3,1
88.619833,27.629944,1,239,1887.97448730469,4.5821852684021,6.80293846130371,0.286181926727295,1510.55163574219,5,38,1,1
88.685306,27.628083,1,164,2047.95361328125,5,9,0.324781715869904,1544.43505859375,5,36,1,1
88.695194,27.629361,1,180,2076.49755859375,5,9,0.318440854549408,1552.07922363281,5,29,2,1
88.692778,27.6295,1,179,2052.05639648438,5,1,0.342947393655777,1552.07922363281,5,48,2,1
88.612,27.641139,1,248,1878.89624023438,4,10,0.131002277135849,1508.79260253906,5,26,1,1
88.712028,27.637167,1,130,2261.86328125,5,8.99900245666504,0.308668464422226,1563.95288085938,5,27,2,1
88.711694,27.638694,1,100,2288.14575195312,5,4.81138753890991,0.285452455282211,1561.11889648438,5,28,1,1
88.607,27.652861,1,260,1948.17517089844,4,10,0.185602992773056,1507.134765625,5,43,1,1
88.602556,27.662444,1,195,2063.34838867188,4,3,0.198729887604713,1505.57604980469,5,25,1,1
88.597194,27.676722,1,227,2206.16430664062,4,8,0.28732642531395,1503.80932617188,5,34,1,1
88.733417,27.675778,1,145,2592.7177734375,5,3.70855641365051,0.200697258114815,1558.3447265625,5,30,1,1
88.73875,27.686389,1,146,2643.43774414062,5,3.00299334526062,0.171698153018951,1553.15417480469,5,34,1,1
88.57025,27.697139,1,4,2347.7783203125,5,8,0.113534733653069,1440.45361328125,5,19,1,1
88.566083,27.700444,1,59,2401.7021484375,5,8,0.202773064374924,1440.20849609375,5,37,3,1
88.565083,27.701333,1,30,2393.81176757812,5,8,0.167922168970108,1440.20849609375,5,37,1,1
88.562306,27.703917,1,29,2411.33740234375,5,7.99501085281372,0.0235488452017307,1429.49096679688,5,27,1,1
88.56175,27.704028,1,48,2440.22387695312,5,3.02212119102478,0.152439847588539,1430.30517578125,5,26,1,1
88.560694,27.704306,1,89,2512.31298828125,5,3,0.188126534223557,1440.03088378906,5,36,1,1
88.557361,27.713944,1,134,2588.75390625,5,3,0.187465444207191,1427.41528320312,5,37,3,1
88.550472,27.723611,1,128,2721.85205078125,5,3,0.217341989278793,1426.36181640625,5,29,3,1
88.552861,27.724222,1,133,2674.28173828125,5,2.52962470054626,0.173229441046715,1425.10498046875,5,32,3,1
88.54975,27.726083,1,349,2708.37524414062,5,7.99501085281372,0.0019074603915214,1426.36181640625,5,17,3,1
88.551667,27.728472,1,146,2665.03564453125,5,7.3241138458252,0.213447481393814,1423.38916015625,5,21,3,1
88.54925,27.735278,1,73,2737.677734375,5,6.82406187057495,0.146128699183464,1422.62353515625,5,43,3,1
88.54525,27.74075,1,72,2767.076171875,5,1.0064537525177,0.0916992872953415,1421.97497558594,5,31,3,1
88.545361,27.740944,1,80,2768.46166992188,5,1.47237086296082,0.103703208267689,1421.97497558594,5,32,3,1
88.544278,27.745194,1,71,2804.33056640625,5,6.81907272338867,0.0720614790916443,1420.0634765625,5,26,3,1
88.542972,27.749111,1,67,2816.30932617188,5,6.81907272338867,0.101353973150253,1418.17883300781,5,36,3,1
88.587361,27.516444,1,338,1470.38940429688,5,8,0.148383423686028,1403.7255859375,5,25,1,1
88.590778,27.527333,1,249,1505.37292480469,5,8,0.215618923306465,1414.96252441406,5,40,1,1
88.603222,27.527194,1,9,1480.90649414062,5,8,0.0255037602037191,1425.07299804688,5,38,1,1
88.60225,27.527917,1,11,1482.18017578125,5,8,0.095651850104332,1425.07299804688,5,49,1,1
88.607972,27.527722,1,276,1531.07177734375,5,8,0.0417919978499413,1428.71960449219,5,46,1,1
88.600833,27.528722,1,36,1474.685546875,5,8,0.127860456705093,1426.68762207031,5,41,1,1
88.598139,27.529639,1,35,1458.36303710938,5,8,0.146206915378571,1426.68762207031,5,18,4,1
88.497972,27.535333,1,1,930.432739257812,4,10,0.0417891629040241,1376.1982421875,5,42,1,1
88.606333,27.531667,1,266,1446.68371582031,5,8,0.200649291276932,1430.12475585938,5,45,1,1
88.609278,27.533722,1,302,1418.24694824219,4,8,0.0225947853177786,1438.51086425781,5,46,1,1
88.610194,27.535056,1,312,1410.83435058594,4,8,0.03374133259058,1438.51086425781,5,35,1,1
88.58475,27.54375,1,279,1587.60241699219,5,8,0.111133866012096,1432.43188476562,5,38,1,1
88.585194,27.545861,1,236,1700.01171875,5,8.23941230773926,0.333656787872314,1432.43188476562,5,37,1,1
88.628306,27.5435,1,37,1295.482421875,5,10,0.290643453598022,1462.6513671875,5,21,1,1
88.586472,27.546333,1,213,1780.01489257812,5,8,0.335413694381714,1432.43188476562,5,30,1,1
88.602667,27.547111,1,91,1724.85461425781,5,8.99577522277832,0.282872706651688,1444.16589355469,5,33,4,1
88.636,27.545694,1,346,1366.40551757812,5,10,0.0773584544658661,1466.70678710938,5,23,1,1
88.583556,27.549194,1,208,1814.56164550781,5,8.2384147644043,0.315701246261597,1437.02917480469,5,35,1,1
88.641944,27.548417,1,320,1330.54284667969,5,10,0.0724118202924728,1483.8984375,5,35,1,1
88.644889,27.549306,1,4,1317.98962402344,5,10,0.0527466498315334,1484.64624023438,5,30,1,1
88.577194,27.553583,1,103,1877.48425292969,5,7.58787631988525,0.316299706697464,1439.2099609375,5,44,4,1
88.581222,27.553556,1,260,1844.70239257812,5,8.76058769226074,0.313729256391525,1439.2099609375,5,31,1,1
88.646056,27.550917,1,191,1377.48913574219,5,7.11849880218506,0.363730221986771,1484.64624023438,5,38,1,1
88.622306,27.552861,1,188,1740.32507324219,4,3.02212119102478,0.172579646110535,1462.84533691406,5,21,1.24759674072266,1
88.653528,27.552528,1,143,1398.11022949219,4,10,0.282266497612,1492.55676269531,5,28,1,1
88.647556,27.55525,1,200,1720.15771484375,4,9,0.308728456497192,1492.10864257812,5,34,1,1
88.654444,27.554889,1,120,1461.51599121094,4,10,0.335841298103333,1496.083984375,5,26,1,1
88.651417,27.575444,1,101,1614.13049316406,4,1.47536432743073,0.33911070227623,1504.38122558594,5,39,2.82186341285706,1
88.652028,27.609056,1,140,1659.88635253906,4,9,0.311927437782288,1522.10998535156,5,34,2,1
88.655222,27.611333,1,158,1687.15771484375,4,9,0.30206111073494,1522.41467285156,5,38,2,1
88.656528,27.613444,1,163,1767.04016113281,4,2.91529846191406,0.288539469242096,1523.60668945312,5,32,2,1
88.356861,27.400278,1,255,1558.62573242188,9,8,0.254289120435715,1045.80395507812,5,27,1,1
88.513694,27.441056,1,270,813.943542480469,9,8,0.121472053229809,1194.81384277344,5,36,1,1
88.514389,27.438389,1,248,772.469299316406,9,4.19706153869629,0.138187289237976,1186.24853515625,5,31,1,1
88.514,27.426,1,245,670.874633789062,9,8,0.195323526859283,1154.93090820312,5,37,1,1
88.514528,27.433083,1,271,734.899230957031,9,8,0.109840884804726,1168.33544921875,5,51,1,1
88.515167,27.435944,1,274,766.072875976562,9,8,0.0309681817889214,1181.6396484375,5,48,1,1
88.515944,27.420028,1,286,640.878356933594,9,8,0.0609975978732109,1141.45983886719,5,38,1,1
88.516611,27.411306,1,258,585.984497070312,9,9.52962493896484,0.121627390384674,1114.47790527344,5,51,1,1
88.519667,27.448306,1,286,864.534851074219,9,8,0.0230509415268898,1223.55871582031,5,34,1,1
88.517528,27.395556,1,301,744.974548339844,9,8,0.0896533131599426,1095.92834472656,5,27,1,1
88.523472,27.461694,1,276,942.290161132812,9,8,0.206333681941032,1261.39404296875,5,34,1,1
88.519167,27.397083,1,314,754.326171875,9,8,0.0659500136971474,1095.92834472656,5,26,1.24759674072266,1
88.528472,27.4795,1,231,886.468078613281,9,8,0.246396914124489,1309.64697265625,5,30,1,1
88.52875,27.482583,1,289,927.988647460938,9,8,0.10573997348547,1309.64697265625,5,31,1,1
88.529528,27.482583,1,308,961.280334472656,9,8,0.154178813099861,1309.64697265625,5,25,1,1
88.526639,27.436556,1,272,1285.84240722656,9,6.82406187057495,0.194309264421463,1207.63757324219,5,24,1,1
88.527028,27.438139,1,280,1282.26867675781,9,8,0.148790761828423,1212.39074707031,5,22,1,1
88.527444,27.438778,1,281,1283.50524902344,9,8,0.217885851860046,1220.15197753906,5,27,1,1.39763343334198
88.530667,27.481083,1,205,1029.55200195312,9,3.02112340927124,0.196233138442039,1309.64697265625,5,24,1,1
88.531194,27.480472,1,174,992.490661621094,9,7.98386573791504,0.268126338720322,1309.64697265625,5,32,1,1
88.53269,27.48603,1,219,1057.67321777344,9,8,0.248371213674545,1323.08532714844,5,23,1.74279022216797,2
88.5375,27.502,1,345,1228.28784179688,9,7.97465181350708,0.149261966347694,1353.48083496094,5,28,1,2
88.53848,27.5091,1,307,1224.63647460938,9,8,0.193300664424896,1370.2119140625,5,31,1,1.39763343334198
88.539667,27.517278,1,310,1318.27026367188,8,8,0.0539335682988167,1378.17163085938,5,25,1,1
88.542889,27.517306,1,20,1303.2919921875,8,8,0.162097781896591,1379.89892578125,5,36,1,2
88.54371,27.4097,1,213,1500.54931640625,8,6.82406187057495,0.330327153205872,1178.28039550781,5,34,1,2
